Inv Location,Count of equine-death-and-breakdown
on 10th frame,1
On Gate,1
On path to track,1
on ramp from paddock,1
On the Walker,1
on track - after race,1
on track - Batavia Downs,1
One eight pole,1
One mile & 3/8,1
One mile & one quarter,1
Outer Rail-Turf Course,1
Outside of test barn,1
Outside Paddock,1
Paddock- after race,1
Paddock after warm up,1
Paddock after warm-up,1
Paddock and race track,1
Paddock prior to race,1
Paddock ramp that leads to track before race,1
Paddock Test stall,1
Paddock/Post Parade,1
paddock/test barn,1
Paddock-after warm-up,1
Paddock-Barn Area,1
Paddocks 5/8 stall,1
Paddock-Warm-up,1
past 1/2 pole,1
past 3/4 pole,1
past the finish line,1
past the half-3rd turn,1
Philadelphia Park,1
Pole/Maintenance Area,1
Pool,1
Post Parade/Paddock Ramp,1
Post Parade-front of Clubhouse,1
PRESQUE (PA TRACK ),1
Prior to Finish,1
Prior to Race,1
Pulled up at half,1
qualifiers/ 3/4 pole,1
Questionable Start Date,1
Race Finish,1
race start,1
Race track,1
Racetrack,1
Rail at 3/8 pole,1
Right after start of 5th. Race.,1
right after start of race,1
Rood & Riddle,1
Rood & Riddle Equine Hospital,1
Rood and Riddle Equine Hospital,1
Rood and Riddle Hospital,1
Route to barn area,1
RT 9 Saratoga,1
Ruffian Equine equine hospital,1
Ruffian Horse Hospital,1
Ruffian Hospital,1
Saratoga  Harness,1
Saratoga Barn,1
Saratoga barn 64,1
Saratoga Gaming & Raceway,1
Saratoga Gaming Raceway,1
Saratoga Harness backstretch,1
Saratoga Harness/Barn /Stall,1
Saratoga Race Course,1
Saratoga Racing - Barn area,1
Saratoga RC,1
Saratoga RC-After the finish line,1
Saratoga RT Gate,1
Saratoga TT,1
Schooling behind gate,1
ship in barn # 10,1
Ship-in barn,1
ship-in-barn,1
Sixteength Pole,1
Sixteenth Pole,1
Stable - Barn,1
stable area tarmack,1
stables,1
Stables at Batavia Downs,1
Stall / Barn,1
Stall Barn,1
Start & 1/4 Pole,1
Start & Head of the Stretch,1
Start of Main Track,1
Start of race - end of race,1
Start of Race 6,1
Start of race and 1/16 pole.,1
start of race-rail,1
Start/After Finish,1
start-1/4 pole,1
starting gate/after turn,1
Starting gate/finish line,1
Starting Gate-1/8 pole,1
Starting gate-before start,1
Steeple Chase 5th fence,1
Stretch-1/16 Pole,1
Stretch-inside the 1/16 pole,1
Test Barn-After  Race,1
Tioga,1
Tioga Downs  3/4 pole,1
"Tioga Downs, during the race",1
Tioga Downs-Paddock,1
top of the stretch..,1
Track @ Buffalo Raceway,1
track entrance,1
Trailer,1
Training Trac-1/8 pole,1
Training Track 1/4 pole,1
Training Track 3/16 pole,1
Training Track 3/4 pole,1
Training track am,1
Training Track Rail,1
"Training Track, 7/8  pole",1
"Training Track, Barn Area",1
"Training Track, Finish",1
"Training Track, Finish Line",1
"Training Track, Finish of work out",1
Training Track-1/4 pole,1
Training Track-1/8 pole,1
Training Track-5/16 pole,1
Training Track-7/8 Pole,1
training turf,1
Training-After Finish,1
TrainingTrack-3/8 pole,1
Trg. Track - 1/8 pole,1
TT 3/4 pole,1
TT-1/8 pole,1
Turf Track,1
"Turf, 1/2 pole",1
"Turf, 1/4 Pole",1
"Turf, Finish of Race",1
"Turf, Start",1
Turn at 3/4 mark,1
unknown,1
Unsaddling Area-after finish,1
VD,1
Vernon Barn 21B,1
Vicinity 1/2 mi. pole,1
vicinity of 1/16th pole,1
vicinity of 1/2 mi. pole,1
vicinity of 1/2 mile pole,1
Walker Field,1
warm up for 5th race,1
Warm up on Main Track,1
Warm Up/Paddock,1
Warm up-3/8 Pole,1
"Warm-up, 3/8 Pole",1
Warm-up/Paddock,1
While Warming Up,1
Widener,1
"Widener Turf, 1/2 Pole",1
"Widener Turf, 1/4 Pole",1
"Widener Turf, Inside 1/16 pole",1
"Widener Turf, Inside of the  1/16 Pole",1
"Widener Turf, Start",1
Widener Turf-Finish of Race,1
Wire,1
Wire - first time,1
Wire then Barn 10 Aqueduct,1
Workout,1
Workout-Main Track,1
YR paddock,1
